"opponent","date","score","w_l","fgm_a","pct","x3fg_a","pct_2","ftm_a","pct_3","off","def","tot","avg","pf","ast","to","blk","stl","pts","avg_2","season"
"Castleton",2021-11-08,"57-78","L","18-64",0.281,"6-22",0.273,"15-20",0.75,13,22,35,35,14,8,15,2,9,57,57,"2021-22"
"Vassar",2021-11-13,"55-80","L","20-70",0.286,"10-41",0.244,"5-9",0.556,0,24,24,29.5,17,8,17,1,2,55,56,"2021-22"
"Rowan",2021-11-14,"55-70","L","23-69",0.333,"4-15",0.267,"5-11",0.455,10,18,28,29,25,10,19,0,6,55,55.7,"2021-22"
"Mitchell",2021-11-19,"50-69","L","22-73",0.301,"3-18",0.167,"3-9",0.333,21,27,48,33.8,7,7,21,1,7,50,54.3,"2021-22"
"Bowdoin",2021-11-20,"69-52","W","27-56",0.482,"11-19",0.579,"4-10",0.4,6,26,32,33.4,20,23,18,1,10,69,57.2,"2021-22"
"Trinity (CT)",2021-11-28,"58-65","L","21-49",0.429,"2-12",0.167,"14-22",0.636,6,20,26,32.2,14,10,15,0,5,58,57.3,"2021-22"
"Eastern Connecticut",2021-12-02,"57-62","L","19-56",0.339,"4-14",0.286,"15-19",0.789,14,23,37,32.9,17,10,22,4,7,57,57.3,"2021-22"
"Williams",2021-12-07,"60-65","L","23-51",0.451,"4-9",0.444,"10-15",0.667,3,25,28,32.3,14,9,12,0,3,60,57.6,"2021-22"
"New England Col.",2021-12-10,"48-68","L","17-68",0.25,"4-17",0.235,"10-19",0.526,18,23,41,33.2,16,7,19,2,11,48,56.6,"2021-22"
"SUNY New Paltz",2021-12-30,"54-62","L","22-57",0.386,"6-16",0.375,"4-6",0.667,4,28,32,33.1,18,12,18,0,1,54,56.3,"2021-22"
"Tufts",2022-01-05,"78-69","W","27-49",0.551,"8-12",0.667,"16-20",0.8,7,25,32,33,20,16,14,0,2,78,58.3,"2021-22"
"MIT",2022-01-16,"69-77","L","24-55",0.436,"7-17",0.412,"14-18",0.778,11,22,33,33,23,12,19,2,8,69,59.2,"2021-22"
"WPI",2022-01-19,"53-56","L","21-54",0.389,"6-19",0.316,"5-7",0.714,6,19,25,32.4,20,8,15,1,4,53,58.7,"2021-22"
"Clark (MA)",2022-01-22,"60-79","L","21-52",0.404,"6-18",0.333,"12-17",0.706,7,20,27,32,17,13,22,1,5,60,58.8,"2021-22"
"Hamilton",2022-01-25,"34-67","L","8-55",0.145,"0-17",0,"18-24",0.75,8,28,36,32.3,19,4,21,3,3,34,57.1,"2021-22"
"Roger Williams",2022-01-27,"63-67","L","24-53",0.453,"7-13",0.538,"8-13",0.615,10,16,26,31.9,22,15,18,2,6,63,57.5,"2021-22"
"Mount Holyoke",2022-01-29,"27-85","L","11-42",0.262,"3-13",0.231,"2-4",0.5,1,10,11,30.6,6,3,20,1,11,27,55.7,"2021-22"
"Salve Regina",2019-11-13,"43-84","L","17-54",0.315,"3-16",0.188,"6-14",0.429,12,14,26,26,19,11,17,2,6,43,43,"2019-20"
"Rivier",2019-11-16,"34-84","L","11-55",0.2,"7-26",0.269,"5-14",0.357,2,20,22,24,13,5,19,0,2,34,38.5,"2019-20"
"Moravian",2019-11-17,"71-79","L","23-60",0.383,"5-19",0.263,"20-22",0.909,14,19,33,27,28,10,23,0,5,71,49.3,"2019-20"
"New England Col.",2019-11-20,"52-62","L","20-56",0.357,"1-4",0.25,"11-18",0.611,10,21,31,28,22,8,21,0,2,52,50,"2019-20"
"The Sage Colleges",2019-11-23,"50-72","L","21-58",0.362,"0-3",0,"8-20",0.4,21,21,42,30.8,20,10,24,4,8,50,50,"2019-20"
"Keene St.",2019-11-26,"39-53","L","16-55",0.291,"4-19",0.211,"3-6",0.5,5,20,25,29.8,17,12,13,3,9,39,48.2,"2019-20"
"MCLA",2019-12-07,"40-89","L","14-50",0.28,"9-18",0.5,"3-7",0.429,5,14,19,28.3,16,6,19,1,4,40,47,"2019-20"
"Westfield St.",2019-12-10,"70-97","L","22-81",0.272,"9-41",0.22,"17-23",0.739,12,21,33,28.9,18,7,16,0,2,70,49.9,"2019-20"
"Rensselaer",2019-12-12,"65-74","L","25-65",0.385,"7-16",0.438,"8-9",0.889,8,25,33,29.3,13,16,14,5,6,65,51.6,"2019-20"
"Anna Maria",2019-12-29,"57-76","L","21-57",0.368,"11-17",0.647,"4-6",0.667,7,19,26,29,16,9,21,3,4,57,52.1,"2019-20"
"Franklin & Marshall",2019-12-30,"42-54","L","14-47",0.298,"4-17",0.235,"10-19",0.526,7,26,33,29.4,13,6,16,4,6,42,51.2,"2019-20"
"Trinity (CT)",2020-01-02,"51-58","L","18-57",0.316,"3-13",0.231,"12-21",0.571,13,26,39,30.2,18,7,17,2,7,51,51.2,"2019-20"
"Springfield",2020-01-07,"54-50","W","19-57",0.333,"4-20",0.2,"12-18",0.667,11,25,36,30.6,11,12,11,0,13,54,51.4,"2019-20"
"Dean",2020-01-09,"33-79","L","15-63",0.238,"2-19",0.105,"1-3",0.333,14,11,25,30.2,8,5,19,0,7,33,50.1,"2019-20"
"Pine Manor",2018-11-13,"27-72","L","12-51",0.235,"0-8",0,"3-6",0.5,8,20,28,28,12,7,28,3,6,27,27,"2018-19"
"Dean College",2018-11-15,"55-80","L","22-75",0.293,"6-27",0.222,"5-11",0.455,21,21,42,35,23,9,22,1,16,55,41,"2018-19"
"Norwich",2018-11-17,"54-73","L","20-52",0.385,"5-16",0.313,"9-13",0.692,8,19,27,32.3,16,5,22,0,4,54,45.3,"2018-19"
"Hartwick",2018-11-18,"65-74","L","21-53",0.396,"6-22",0.273,"17-21",0.81,6,27,33,32.5,25,6,18,2,1,65,50.3,"2018-19"
"New York U.",2018-11-25,"59-48","W","22-56",0.393,"8-19",0.421,"7-11",0.636,5,30,35,33,25,8,11,1,2,59,52,"2018-19"
"Springfield",2018-11-28,"59-52","W","20-51",0.392,"3-10",0.3,"16-25",0.64,5,25,30,32.5,17,10,7,1,6,59,53.2,"2018-19"
"Babson College",2018-12-01,"62-86","L","22-66",0.333,"12-36",0.333,"6-7",0.857,17,17,34,32.7,12,18,12,2,3,62,54.4,"2018-19"
"Clark University",2018-12-05,"61-71","L","23-62",0.371,"5-22",0.227,"10-14",0.714,7,19,26,31.9,26,8,22,3,5,61,55.3,"2018-19"
"Emerson",2018-12-08,"86-77","W","30-65",0.462,"8-16",0.5,"18-21",0.857,9,23,32,31.9,21,21,9,1,7,86,58.7,"2018-19"
"Westfield State Univ",2018-12-12,"100-108","L","33-100",0.33,"13-50",0.26,"21-31",0.677,15,18,33,32,37,22,19,5,24,100,62.8,"2018-19"
"TCNJ",2018-12-30,"67-72","L","25-69",0.362,"10-35",0.286,"7-8",0.875,10,25,35,32.3,19,14,8,1,1,67,63.2,"2018-19"
"MIT",2019-01-05,"67-54","W","20-48",0.417,"3-11",0.273,"24-28",0.857,6,25,31,32.2,15,6,10,2,3,67,63.5,"2018-19"
"WPI",2019-01-08,"48-68","L","18-58",0.31,"9-31",0.29,"3-4",0.75,17,16,33,32.2,15,10,20,0,5,48,62.3,"2018-19"
"PINEMANO",2017-11-15,"38-87","L","13-63",0.206,"2-16",0.125,"10-14",0.714,12,25,37,37,22,5,28,1,5,38,38,"2017-18"
"Southern Maine",2017-11-18,"64-72","L","25-53",0.472,"5-19",0.263,"9-11",0.818,9,10,19,28,22,8,12,0,6,64,51,"2017-18"
"Bates",2017-11-19,"64-85","L","20-59",0.339,"10-32",0.313,"14-17",0.824,10,23,33,29.7,9,8,13,1,4,64,55.3,"2017-18"
