"number","player","gp","gs","tot","avg","fgm","fga","fg_percent","x3pt","x3pta","x3pt_percent","ftm","fta","ft_percent","pts","avg_2","off","def","tot_2","avg_3","pf","ast","to","stl","blk","season"
"11","Pickunka, Katelyn
                                    11 Pickunka, Katelyn","28","28","697","24.9","119","226",".527","5","12",".417","72","101",".713","315","11.3","73","139","212","7.6","60","25","54","28","12","2021-22"
"14","Ruffner, Jessie
                                    14 Ruffner, Jessie","28","28","769","27.5","127","260",".488","22","55",".400","35","48",".729","311","11.1","21","108","129","4.6","53","74","48","27","2","2021-22"
"22","Morrison, Morgan
                                    22 Morrison, Morgan","28","2","451","16.1","127","204",".623","0","0",".000","58","86",".674","312","11.1","70","95","165","5.9","61","13","47","11","9","2021-22"
"05","Yamada, Ally
                                    05 Yamada, Ally","28","6","579","20.7","72","192",".375","39","120",".325","33","44",".750","216","7.7","8","34","42","1.5","39","61","51","24","0","2021-22"
"25","Clairmont, Amelia
                                    25 Clairmont, Amelia","25","21","542","21.7","69","189",".365","34","102",".333","10","12",".833","182","7.3","7","49","56","2.2","33","27","40","18","3","2021-22"
"10","Gleissner, Dashelle
                                    10 Gleissner, Dashelle","28","28","754","26.9","67","175",".383","26","82",".317","23","35",".657","183","6.5","7","78","85","3.0","50","138","65","76","8","2021-22"
"31","Whalen, Elle Jo 
                                    31 Whalen, Elle Jo","26","26","656","25.2","65","116",".560","0","0",".000","10","31",".323","140","5.4","54","85","139","5.3","54","38","23","21","5","2021-22"
"13","Loo, Jane
                                    13 Loo, Jane","26","0","342","13.2","40","106",".377","19","48",".396","17","19",".895","116","4.5","5","45","50","1.9","27","18","38","9","2","2021-22"
"20","Creager, Cassidy
                                    20 Creager, Cassidy","18","0","127","7.1","23","33",".697","0","0",".000","6","13",".462","52","2.9","6","26","32","1.8","11","0","17","1","0","2021-22"
"33","Hooker, Tiffany
                                    33 Hooker, Tiffany","13","0","109","8.4","12","34",".353","1","6",".167","10","13",".769","35","2.7","0","16","16","1.2","7","6","9","5","0","2021-22"
"03","Mack, Bobi
                                    03 Mack, Bobi","19","0","143","7.5","13","39",".333","10","30",".333","8","10",".800","44","2.3","0","6","6","0.3","14","8","15","8","1","2021-22"
"24","Rideout, Kyra
                                    24 Rideout, Kyra","14","1","114","8.1","13","34",".382","0","2",".000","5","10",".500","31","2.2","15","20","35","2.5","20","5","7","5","12","2021-22"
"01","Bohn, Ashlyn
                                    01 Bohn, Ashlyn","5","0","42","8.4","5","12",".417","1","2",".500","0","0",".000","11","2.2","1","14","15","3.0","6","2","5","1","0","2021-22"
"02","Washington, Jazmyn 
                                    02 Washington, Jazmyn","20","0","136","6.8","6","15",".400","0","2",".000","4","10",".400","16","0.8","9","24","33","1.7","12","2","13","2","4","2021-22"
"21","Potvin, Ellie
                                    21 Potvin, Ellie","13","0","69","5.3","2","8",".250","1","7",".143","1","2",".500","6","0.5","1","1","2","0.2","6","7","7","1","0","2021-22"
"15","Martin, Breona
                                    15 Martin, Breona","14","0","48","3.4","3","5",".600","0","2",".000","0","0",".000","6","0.4","1","6","7","0.5","1","4","4","0","0","2021-22"
"12","Peterson, Jordan
                                    12 Peterson, Jordan","9","0","47","5.2","0","6",".000","0","3",".000","3","4",".750","3","0.3","2","7","9","1.0","2","4","6","1","0","2021-22"
"11","Pickunka, Katelyn
                                    11 Pickunka, Katelyn","28","28","696","24.9","152","241",".631","0","0",".000","93","115",".809","397","14.2","79","127","206","7.4","68","17","68","26","24","2019-20"
"25","Clairmont, Amelia
                                    25 Clairmont, Amelia","30","27","763","25.4","131","318",".412","63","162",".389","32","41",".780","357","11.9","10","105","115","3.8","57","41","63","25","2","2019-20"
"14","Ruffner, Jessie
                                    14 Ruffner, Jessie","29","13","771","26.6","103","218",".472","39","103",".379","48","70",".686","293","10.1","10","90","100","3.4","47","67","72","35","1","2019-20"
"05","Yamada, Ally
                                    05 Yamada, Ally","15","15","429","28.6","49","119",".412","22","59",".373","13","14",".929","133","8.9","7","26","33","2.2","28","49","39","17","1","2019-20"
"31","Whalen, Elle Jo 
                                    31 Whalen, Elle Jo","30","30","811","27.0","111","187",".594","0","0",".000","21","50",".420","243","8.1","59","117","176","5.9","47","34","43","17","8","2019-20"
"10","Gleissner, Dashelle
                                    10 Gleissner, Dashelle","30","30","972","32.4","90","244",".369","21","72",".292","40","59",".678","241","8.0","11","100","111","3.7","59","197","104","78","5","2019-20"
"22","Morrison, Morgan
                                    22 Morrison, Morgan","29","1","456","15.7","74","136",".544","0","0",".000","35","63",".556","183","6.3","56","85","141","4.9","59","14","56","10","12","2019-20"
"24","Rideout, Kyra
                                    24 Rideout, Kyra","17","0","162","9.5","26","53",".491","2","5",".400","13","17",".765","67","3.9","19","27","46","2.7","22","5","16","5","9","2019-20"
"01","Bohn, Ashlyn
                                    01 Bohn, Ashlyn","29","1","346","11.9","31","64",".484","14","35",".400","6","9",".667","82","2.8","25","81","106","3.7","17","8","16","3","0","2019-20"
"15","Martin, Breona
                                    15 Martin, Breona","19","2","216","11.4","20","38",".526","8","17",".471","3","5",".600","51","2.7","6","24","30","1.6","19","10","20","4","0","2019-20"
"13","Cipolla, Rachael
                                    13 Cipolla, Rachael","12","1","48","4.0","8","22",".364","2","6",".333","6","10",".600","24","2.0","1","8","9","0.8","5","5","6","1","1","2019-20"
"20","Garcia, Karena
                                    20 Garcia, Karena","14","0","82","5.9","10","19",".526","5","9",".556","0","0",".000","25","1.8","4","9","13","0.9","7","4","10","1","0","2019-20"
"03","Zener, Emma 
                                    03 Zener, Emma","18","2","178","9.9","11","34",".324","7","29",".241","0","0",".000","29","1.6","2","9","11","0.6","2","7","3","6","0","2019-20"
"21","Potvin, Ellie
                                    21 Potvin, Ellie","12","0","97","8.1","3","15",".200","2","12",".167","0","1",".000","8","0.7","2","9","11","0.9","6","4","5","1","0","2019-20"
"05","Bondi, Lauren
                                    05 Bondi, Lauren","29","29","978","33.7","178","429",".415","84","198",".424","98","116",".845","538","18.6","2","73","75","2.6","55","107","84","50","8","2018-19"
"30","Guest-Pritchett, Kennedy
                                    30 Guest-Pritchett, Kennedy","29","28","811","28.0","175","316",".554","0","1",".000","75","133",".564","425","14.7","110","224","334","11.5","74","36","69","13","12","2018-19"
"15","McClellan, Katy
                                    15 McClellan, Katy","29","29","834","28.8","102","206",".495","18","41",".439","85","140",".607","307","10.6","49","119","168","5.8","43","77","72","15","7","2018-19"
"11","Pickunka, Katelyn
                                    11 Pickunka, Katelyn","29","0","401","13.8","72","119",".605","0","1",".000","50","79",".633","194","6.7","44","54","98","3.4","46","14","36","12","3","2018-19"
"10","Gleissner, Dashelle
                                    10 Gleissner, Dashelle","29","28","745","25.7","68","172",".395","25","66",".379","14","20",".700","175","6.0","8","83","91","3.1","69","70","84","52","4","2018-19"
